"Title","description","price","originalPrice","category","Media Gallery","images","badges","condition","sold","soldDate","Add Item (Item)","ID","Created Date","Updated Date","Owner"
"Espresso Machine","De'Longhi espresso machine with milk frother. Make café-quality coffee at home.",420,600,"appliances",,"https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=400","urgent","Like New",false,,"/items/espresso-machine","1107311f-7285-4f56-b46c-75c7f3c422b8",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"MacBook Pro 14"" M1","2021 MacBook Pro, barely used. Perfect for work or creative projects. Original box included.",3200,4000,"appliances",,"https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400","urgent,viewing-now","Like New",false,,"/items/macbook-pro-14%22-m1","19deed04-fe64-4d1c-a140-76984ae6c1a6",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Vintage Leather Armchair","Mid-century modern leather armchair. Rich cognac color, incredibly comfortable.",1200,1800,"furniture",,"https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400","staff-pick","Good",false,,"/items/vintage-leather-armchair","1b6ee32e-67a3-4ab8-a57b-335fdb71168e",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Monstera Deliciosa Plant","Large, healthy Monstera plant in ceramic pot. Perfect for home decoration.",85,120,"lifestyle",,"https://images.unsplash.com/photo-1463154545680-d59320fd685d?w=400",,"Excellent",true,"2024-01-14","/items/monstera-deliciosa-plant","301a8e62-f5c1-47e9-886a-428286d1755a",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Modern Floor Lamp","Minimalist black floor lamp with brass accents. Perfect for reading corner.",120,180,"furniture",,"https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=400",,"Excellent",false,,"/items/modern-floor-lamp","3238c193-5012-443d-a662-cfc98eef3e71",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Drill Set with Case","Professional drill with complete bit set. Makita brand, excellent for home projects.",280,420,"outdoor",,"https://images.unsplash.com/photo-1589360227927-6b0b5e2c0847?w=400","staff-pick","Very Good",true,"2024-01-13","/items/drill-set-with-case","37502647-5003-45eb-bf64-5398c89c5ee5",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Designer Kitchen Knives Set","Professional Wüsthof knife set with wooden block. 8 pieces, German steel.",450,650,"appliances",,"https://images.unsplash.com/photo-1544037150-6e4ecfcb0d0b?w=400","urgent","Excellent",false,,"/items/designer-kitchen-knives-set","8352b866-4871-4b3d-890d-f235bb25c6a8",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Baby Stroller - Cybex Priam","Premium stroller with travel system. Used for 6 months only. All accessories included.",800,1200,"baby",,"https://images.unsplash.com/photo-1544627985-f4ac4c52a717?w=400","almost-gone,viewing-now","Very Good",false,,"/items/baby-stroller-cybex-priam","876f4840-9fbc-4b9b-8b7e-f2499a90f9ee",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Cat Tower & Accessories","Large cat tower with scratching posts, toys, and feeding bowls. Cat-approved!",150,220,"Toys",,"https://images.unsplash.com/photo-1608848461950-0fe51dfc41cb?w=400",,"Good",false,,"/items/cat-tower-%26-accessories","9374240b-d912-438f-8817-59efdd33bdfa",2025-06-02T10:48:45Z,2025-06-02T10:48:45Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
"Scandinavian Oak Dining Table","Beautiful solid oak dining table, seats 6. Barely used, perfect condition.",2800,4200,"furniture","[{""description"":"""",""fileName"":""Home-Welcome-1.jpg"",""slug"":""4ccfb3_b394e598d6a747fa95426d586133fc20~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/4ccfb3_b394e598d6a747fa95426d586133fc20~mv2.jpg/Home-Welcome-1.jpg#originWidth=2048&originHeight=1152"",""title"":""Home-Welcome-1.jpg"",""type"":""image"",""settings"":{""width"":2048,""height"":1152,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""Woman with Braided Hair.jpg"",""slug"":""11062b_762569184bbe4a818c783724cf30edd6~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/11062b_762569184bbe4a818c783724cf30edd6~mv2.jpg/Woman%2520with%2520Braided%2520Hair.jpg#originWidth=5000&height=3333"",""title"":""Woman with Braided Hair.jpg"",""type"":""image"",""settings"":{""width"":5000,""height"":3333,""focalPoint"":[0.5,0.5]}}]","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400","staff-pick,viewing-now","Like New",false,,"/items/scandinavian-oak-dining-table","a6edab2d-e00b-4499-8cb5-49723f1114e4",2025-06-02T10:48:45Z,2025-06-03T06:26:19Z,"4ccfb387-6570-42ad-ad15-2ae16c37d9d3"
